Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,30.0,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 00:58:18.013389
30.0,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 00:58:18.013389
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:04:27.267094
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:09:31.910915
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:14:36.356913
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:19:40.873966
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:24:44.773985
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:29:48.924870
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:34:53.046987
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:39:57.245044
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:45:01.224374
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:50:05.334452
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 01:55:09.724467
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:00:13.762728
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:05:17.933671
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:10:21.490892
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:15:25.654397
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:20:29.781667
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:25:33.961495
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:30:38.021814
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:35:42.166126
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:40:46.240392
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:45:50.338725
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:50:54.535026
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 02:55:58.704356
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:01:02.862380
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:06:06.499314
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:11:10.980734
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:16:15.187790
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:21:19.365517
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:26:23.610950
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:31:27.856370
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:36:32.110722
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:41:36.371017
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:46:40.544393
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:51:44.811673
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 03:56:49.119949
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:01:53.476810
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:06:57.968253
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:12:01.739508
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:17:05.957812
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:22:10.183780
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:27:14.462893
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:32:18.743769
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:37:22.958682
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:42:27.210307
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:47:31.516070
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:52:35.776560
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 04:57:40.142831
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:02:44.500676
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:07:48.618312
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:12:52.886542
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:17:57.204328
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:23:01.682765
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:28:06.060275
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:33:10.486081
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:38:14.828330
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:43:19.177383
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:48:23.453790
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:53:27.755756
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 05:58:32.143548
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:03:36.457601
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:08:40.964568
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:13:45.300584
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:18:49.713431
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:23:53.862539
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:28:58.309875
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:34:02.606354
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:39:06.983057
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:44:11.357405
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:49:15.701560
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:54:19.988720
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 06:59:24.371691
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:04:28.777480
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:09:33.095962
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:14:37.559243
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:19:41.901833
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:24:46.114033
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:29:50.587466
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:34:54.877214
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:39:59.188119
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:45:03.498819
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:50:07.872567
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 07:55:12.158356
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:00:16.597732
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:05:21.054389
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:10:25.598047
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:15:30.025858
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:20:34.416416
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:25:38.990689
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:30:43.420659
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:35:47.870639
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:40:52.361130
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:45:56.719918
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:51:00.980276
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 08:56:05.342012
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:01:09.974928
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:06:14.215607
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:11:18.523344
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:16:23.141165
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:21:27.562783
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:26:31.868044
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:31:36.275953
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:36:40.657518
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:41:45.085791
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:46:50.458957
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:51:55.007261
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 09:56:59.529333
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:02:04.020390
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:07:08.822708
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:12:13.128091
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:17:17.807501
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:22:21.728466
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:27:26.261627
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:32:31.199924
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:37:35.603730
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:42:39.950827
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:47:44.444104
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:52:48.903519
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 10:57:53.372188
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:02:57.837668
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:08:02.444459
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:13:06.966926
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:18:11.457363
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:23:15.927821
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:28:20.676651
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:33:25.153565
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:38:29.645101
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:43:34.277537
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:48:39.162063
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:53:43.636590
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 11:58:48.161075
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:03:52.440826
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:08:56.902695
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:14:01.388383
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:19:05.961492
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:24:10.542887
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:29:15.162136
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:34:19.752827
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:39:24.328821
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:44:28.911935
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:49:33.402634
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:54:38.003163
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 12:59:42.611535
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:04:47.159136
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:09:51.638941
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:14:56.171918
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:20:00.671371
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:25:05.163948
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:30:09.566612
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:35:14.086651
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:40:18.474848
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:45:22.835783
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:50:27.432455
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 13:55:31.784464
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:00:36.582195
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:05:40.961049
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:10:45.323472
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:15:49.628389
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:20:54.102134
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:25:58.735552
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:31:03.531384
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:36:08.023256
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:41:12.592294
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:46:17.126649
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:51:21.543164
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 14:56:26.129525
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:01:30.527910
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:06:35.180338
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:11:39.614652
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:16:44.272920
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:21:48.811498
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:26:53.351172
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:31:58.300935
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:37:03.084842
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:42:07.618716
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:47:12.179422
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:52:16.808069
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 15:57:21.376369
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:02:26.109794
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:07:30.695831
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:12:35.321653
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:17:40.065136
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:22:44.528926
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:27:49.206165
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:32:53.749559
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:37:58.338058
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:43:02.922392
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:48:07.593338
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:53:12.409226
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 16:58:16.854803
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:03:21.677699
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:08:26.308967
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:13:30.929203
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:18:35.466199
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:23:40.150059
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:28:44.696201
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:33:49.390684
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:38:53.973061
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:43:58.507428
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:49:03.036864
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:54:08.232524
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 17:59:12.679497
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:04:17.296899
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:09:22.015243
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:14:26.855432
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:19:31.619889
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:24:36.267763
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:29:41.034236
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:34:45.628035
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:39:50.277150
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:44:54.905896
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:49:59.604382
,,India,"3,082",23.0,86,,229,"2,767",,2,0.06,"116,608",84,2020-04-04 18:55:04.243883
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:00:08.754891
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:05:13.461319
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:10:18.193111
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:15:22.852596
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:20:27.418055
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:25:32.123623
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:30:36.767737
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:35:41.565069
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:40:46.155744
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:45:50.821780
,,India,"3,588",529.0,86,,229,"3,273",,3,0.06,"116,608",84,2020-04-04 19:50:55.505018
,,India,"3,588",529.0,99,13.0,229,"3,260",,3,0.07,"116,608",84,2020-04-04 19:56:00.029898
,,India,"3,588",529.0,99,13.0,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:01:04.714115
,,India,"3,588",529.0,99,13.0,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:06:09.562833
,,India,"3,588",529.0,99,13.0,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:11:14.244764
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:16:18.887515
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:21:23.527924
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:26:27.677436
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:31:33.371636
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:37:08.829466
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:42:27.224088
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:47:37.951606
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:52:45.313407
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 20:58:07.390210
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:03:25.733951
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:08:51.344702
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:14:26.361102
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:20:04.719316
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:25:35.669936
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:31:07.128279
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:36:40.334037
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:42:03.662261
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:47:29.960691
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:52:46.232825
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 21:58:02.938339
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:03:16.262650
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:08:35.273468
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:13:54.887579
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:19:27.993830
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:24:41.755311
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:30:12.827463
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:35:35.188419
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:40:40.156548
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:45:45.215256
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:50:49.946884
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 22:55:54.807754
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 23:00:59.549426
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 23:06:04.249475
,,India,"3,588",,99,,229,"3,260",,3,0.07,"116,608",84,2020-04-04 23:11:09.067661
